No;Nostr;Type;BHMCat;SourceCat;SourceID;SysID;RA;DEC;Pbin;abin;ebin;wbin;Z;Fe/H;FeHerr;ibin;taumin;taumax;vsini1;vsin1err;vsini2;vsini2err;Prot1;Prot1err;Prot2;Prot2err;V;BV;M1;M1err;M2;M2err;q;R1;R1err;R2;R2err;T1;T1err;T2;T2err;logg1;logg1err;logg2;logg2err;S-type1;S-type2;Lx;Planets;SysADS
0051;0051;V;BHMCat0051V;EkCat;143;ASAS J162637-5042.8 ;-1;-1;8,87621;0,1171121;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1,469;0,008;1,246;0,007;0,848;2,550;0,330;2,250;0,330;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2008AN....329..835B;"
0052;0052;V;BHMCat0052V;EkCat;181;2MASS J19071662+4639532 ;-1;-1;8,429441;0,0862515;-1;-1,0000;-1;-1;-1;-1;-1;-1;5,60;2,00;5,10;2,30;-1;-1;-1;-1;-1;-1;0,680;0,010;0,523;0,006;0,769;0,634;0,043;0,525;0,052;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2008ApJ...687.1253D;"
0053;0053;V;BHMCat0053V;EkCat;140;M4-V66;-1;-1;8,11130346;0,0910458;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,784;0,004;0,744;0,004;0,949;0,934;0,005;0,830;0,005;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2013AJ....145...43K;"
0054;0054;V;BHMCat0054V;EkCat;7;CD-80 28;-1;-1;8,069406;0,1089198;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1,380;0,055;1,384;0,055;1,003;3,160;0,330;4,060;0,410;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2008AN....329..835B;"
0055;0055;V;BHMCat0055V;EkCat;199;V1143 Cyg;-1;-1;7,64075217;0,1061735;-1;-1,0000;-1;-1;-1;-1;-1;-1;18,00;2,00;28,00;3,00;-1;-1;-1;-1;-1;-1;1,391;0,016;1,347;0,013;0,968;1,346;0,023;1,323;0,023;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"1987A&A...174..107A;"
0056;0056;V;BHMCat0056V;EkCat;95;ASAS J085524-4411.3 ;-1;-1;7,040274;0,0943972;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1,204;0,003;1,056;0,003;0,877;1,870;0,020;1,634;0,016;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2008AN....329..835B;"
0057;0057;V;BHMCat0057V;EkCat;49;EW Ori;-1;-1;6,93684324;0,0939317;-1;-1,0000;-1;-1;-1;-1;-1;-1;9,00;0,70;8,80;0,60;-1;-1;-1;-1;-1;-1;1,173;0,011;1,123;0,009;0,957;1,168;0,005;1,097;0,005;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2010A&A...511A..22C;"
0058;0058;V;BHMCat0058V;EkCat;114;FM Leo;-1;-1;6,728606;0,0960263;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1,000;-1,000;-1,000;-1,000;-1;-1;-1;-1;-1;-1;1,318;0,007;1,287;0,007;0,976;1,648;0,043;1,511;0,049;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2010MNRAS.402.2424R;"
0059;0059;V;BHMCat0059V;EkCat;236;BW Aqr;-1;-1;6,7197120;0,0990984;-1;-1,0000;-1;-1;-1;-1;-1;-1;9,60;1,30;13,50;0,80;-1;-1;-1;-1;-1;-1;1,490;0,020;1,390;0,020;0,933;2,060;0,040;1,790;0,040;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"1991A&A...246..397C;"
0060;0060;V;BHMCat0060V;EkCat;5;NGC188 KR V12;-1;-1;6,5042969;0,0884857;-1;-1,0000;-1;-1;-1;-1;-1;-1;15,00;-1,00;17,00;-1,00;-1;-1;-1;-1;-1;-1;1,103;0,007;1,081;0,007;0,980;1,424;0,019;1,373;0,019;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2009AJ....137.5086M;"
0061;0061;V;BHMCat0061V;EkCat;40;BD-02 873;-1;-1;6,47649;0,0919767;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1,293;0,009;1,179;0,009;0,912;1,590;0,290;1,430;0,260;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2007A&A...474..653V;"
